_NAME_,_LABEL_,COL1
Rx_CE_NoLowAged_F65_69,"Rx_CE_NoLowAged_W65_69 -- Female, Age 65 - 69",0.122
Rx_CE_NoLowAged_F70_74,"Rx_CE_NoLowAged_W70_74 -- Female, Age 70 - 74",0.035
Rx_CE_NoLowAged_F75_79,"Rx_CE_NoLowAged_W75_79 -- Female, Age 75 - 79",0.035
Rx_CE_NoLowAged_F80_84,"Rx_CE_NoLowAged_W80_84 -- Female, Age 80 - 84",0.035
Rx_CE_NoLowAged_F85_89,"Rx_CE_NoLowAged_W85_89 -- Female, Age 85 - 89",0.035
Rx_CE_NoLowAged_F90_94,"Rx_CE_NoLowAged_W90_94 -- Female, Age 90 - 94",0.035
Rx_CE_NoLowAged_F95_GT,"Rx_CE_NoLowAged_W95_GT -- Female, Age 95 -",0.035
Rx_CE_NoLowAged_M65_69,"Rx_CE_NoLowAged_M65_69 -- Male,   Age 65 - 69",0.175
Rx_CE_NoLowAged_M70_74,"Rx_CE_NoLowAged_M70_74 -- Male,   Age 70 - 74",0.146
Rx_CE_NoLowAged_M75_79,"Rx_CE_NoLowAged_M75_79 -- Male,   Age 75 - 79",0.049
Rx_CE_NoLowAged_M80_84,"Rx_CE_NoLowAged_M80_84 -- Male,   Age 80 - 84",0.049
Rx_CE_NoLowAged_M85_89,"Rx_CE_NoLowAged_M85_89 -- Male,   Age 85 - 89",0.049
Rx_CE_NoLowAged_M90_94,"Rx_CE_NoLowAged_M90_94 -- Male,   Age 90 - 94",0.049
Rx_CE_NoLowAged_M95_GT,"Rx_CE_NoLowAged_M95_GT -- Male,   Age 95 -",0.049
Rx_CE_NoLowAged_F65OD,"Rx_CE_NoLowAged_F65OD -- Female, Age >= 65, originally entitled due to disability",0.042
Rx_CE_NoLowAged_M65OD,"Rx_CE_NoLowAged_M65OD -- Male,   Age >= 65, originally entitled due to disability",0
Rx_CE_NoLowAged_RXHCC1,Rx_CE_NoLowAged_RXHCC1 -- HIV/AIDS,8.325
Rx_CE_NoLowAged_RXHCC5,Rx_CE_NoLowAged_RXHCC5 -- Opportunistic Infections,0.654
Rx_CE_NoLowAged_RXHCC15,Rx_CE_NoLowAged_RXHCC15 -- Chronic Myeloid Leukemia,4.907
Rx_CE_NoLowAged_RXHCC16,Rx_CE_NoLowAged_RXHCC16 -- Multiple Myeloma and Other Hematologic Cancers,11.15
Rx_CE_NoLowAged_RXHCC17,Rx_CE_NoLowAged_RXHCC17 -- Secondary Cancer of Bone and Kidney,4.907
Rx_CE_NoLowAged_RXHCC18,"Rx_CE_NoLowAged_RXHCC18 -- Secondary Cancer of Lung, Liver, Brain, and Other Sites",2.456
Rx_CE_NoLowAged_RXHCC19,Rx_CE_NoLowAged_RXHCC19 -- Leukemias and Other Hematologic Cancers,2.456
Rx_CE_NoLowAged_RXHCC20,"Rx_CE_NoLowAged_RXHCC20 -- Lung, Kidney, and Other Cancers; Secondary Cancer of Lymph Nodes and Other Sites",0.595
Rx_CE_NoLowAged_RXHCC21,Rx_CE_NoLowAged_RXHCC21 -- Lymphomas and Other Hematologic Cancers,0.595
Rx_CE_NoLowAged_RXHCC22,"Rx_CE_NoLowAged_RXHCC22 -- Prostate, Breast, Bladder, and Other Cancers and Tumors",0.123
Rx_CE_NoLowAged_RXHCC30,Rx_CE_NoLowAged_RXHCC30 -- Diabetes with Complications,0.567
Rx_CE_NoLowAged_RXHCC31,Rx_CE_NoLowAged_RXHCC31 -- Diabetes without Complication,0.248
